gene,arm,median_loss,median_neutral,condition,norm_exp
DIAPH1,5q,-0.191145294900698,-0.137149488424663,non_sig,-0.053995806476034997
SLC14A1,18q,-0.24877003237310352,-0.378160175453146,non_sig,0.12939014308004249
SS18,18q,-0.034176211276243,0.12145416061943799,non_sig,-0.155630371895681
SS18L2,3p,-0.0127054173854376,0.09117202975293695,non_sig,-0.10387744713837455
SS18L1,20q,-0.07341654331577396,0.01886200226109435,non_sig,-0.09227854557686832
SLC7A1,13q,-0.214013884237106,0.08821907054144175,non_sig,-0.3022329547785477
SLC7A6,16q,-0.286225036512756,-0.031557417698408,non_sig,-0.25466761881434796
SLC7A5,16q,-0.525340109176777,-0.096634929990897,non_sig,-0.42870517918587997
SLC7A2,8p,-0.282428967769017,-0.200493935332009,non_sig,-0.081935032437008
SLC7A8,14q,-0.519287833008581,-0.461370497915643,non_sig,-0.05791733509293795
SLC7A11,4q,-0.142986600179106,-0.0158191131586243,non_sig,-0.1271674870204817
SLC15A1,13q,0.2091780359299455,0.0814997844981987,non_sig,0.1276782514317468
SLC15A2,3q,-1.02862818322659,-0.664499983124984,non_sig,-0.36412820010160596
FOXO1,13q,-0.31219797670290095,-0.2936194855473405,non_sig,-0.018578491155560428
FOXO3,6q,-0.282125331832678,0.0969776858275081,non_sig,-0.3791030176601861
LRCH1,13q,-0.29291475736777,0.02650819577545025,non_sig,-0.3194229531432203
LRCH4,7q,-0.18513539520787,0.0304793252364191,non_sig,-0.21561472044428912
LRCH3,3q,-0.20594156133034,0.0107050846879449,non_sig,-0.2166466460182849
RPRD1A,18q,-0.229407931187535,0.2591545896218715,non_sig,-0.4885625208094065
RPRD1B,20q,-0.1602206976758595,-0.15685517087970702,non_sig,-0.003365526796152485
DIS3,13q,-0.298447944376293,0.00022998641651755,non_sig,-0.2986779307928106
DIS3L,15q,-0.184060600196354,-0.0910631702390474,non_sig,-0.0929974299573066
DIS3L2,2q,-0.143289914681884,-0.0615565261084542,non_sig,-0.08173338857342982
CTAGE1,18q,0.1302278203828795,-0.085351688883157,non_sig,0.2155795092660365
CTAGE15,7q,0.274604275833541,0.06040774964136955,non_sig,0.21419652619217147
MIA2,14q,0.0538468313972172,0.05533151527594765,non_sig,-0.00148468387873045
HRH1,3p,-0.04162304533911945,0.2161043561762795,non_sig,-0.25772740151539897
MAPK7,17p,-0.0644988383574933,0.014117451304345451,non_sig,-0.07861628966183876
MAPK11,22q,0.07764612731305,-0.10157033533035309,non_sig,0.17921646264340307
MAPK6,15q,-0.04257247059974745,-0.120517814013231,non_sig,0.07794534341348355
MAPK1,22q,-0.3491534130839765,0.0363190272447687,non_sig,-0.3854724403287452
MAPK8,10q,-0.245018083329237,-0.036092427217856604,non_sig,-0.2089256561113804
MAPK10,4q,-0.115606441603805,0.07930864363395874,non_sig,-0.19491508523776374
MAPK13,6p,-0.29359988972857154,-0.186842104595325,non_sig,-0.10675778513324655
MAPK3,16p,-0.182883289767488,-0.059151515654149806,non_sig,-0.12373177411333819
MAPK12,22q,0.0725293641254935,-0.017524002122092,non_sig,0.0900533662475855
