gene,arm,median_loss,median_neutral,condition,norm_exp
CTIF,18q,1.4360047356719323,1.3095274940122996,non_sig,0.1264772416596327
BOD1,5q,2.6468759183978814,2.0993332818946806,non_sig,0.5475426365032008
GRK6,5q,0.3127943814923657,0.9117947224887152,non_sig,-0.5990003409963495
FGFR2,10q,2.385472886745264,1.7193806995596972,non_sig,0.6660921871855667
FGFR1,8p,1.2329091131974739,1.654605328910986,non_sig,-0.42169621571351223
CSF1R,5q,2.8757953699030487,2.10483945034858,non_sig,0.7709559195544688
FGFR4,5q,2.1024941473289656,1.6975230183596959,non_sig,0.4049711289692697
KIT,4q,2.697947371074028,2.6912147412780145,non_sig,0.006732629796013523
LAYN,11q,-0.3524002750175499,0.9244487337076408,non_sig,-1.2768490087251907
BACH2,6q,1.442901664499369,1.6703806235274974,non_sig,-0.2274789590281283
ITM2B,13q,2.836553295037067,3.0670943768376357,non_sig,-0.23054108180056865
ITM2C,2q,2.220835248085294,2.3045854002510384,non_sig,-0.08375015216574422
TMX3,18q,4.670065094983352,4.743896782991208,non_sig,-0.07383168800785622
FLI1,11q,2.028055275602359,3.0088397763760124,non_sig,-0.9807845007736535
GABPA,21q,2.9972997044621383,3.3069479557431394,non_sig,-0.30964825128100104
ETS1,11q,2.1234994273001844,2.0666181187888015,non_sig,0.056881308511382844
ERG,21q,0.5726217952222953,2.6743639682839726,non_sig,-2.101742173061677
PTPRE,10q,2.2620321873326046,2.469144431776181,non_sig,-0.20711224444357645
VRK1,14q,3.17203830327159,3.6118627747092975,non_sig,-0.4398244714377073
VRK2,2p,2.131385527013148,1.768396152321271,non_sig,0.3629893746918771
TRPC3,4q,3.2963760203354227,3.33580360803424,non_sig,-0.03942758769881749
PTGR3,18q,2.5249155856798176,2.7939792159695354,non_sig,-0.2690636302897178
VAT1L,16q,2.715409777582514,2.3489743324235275,non_sig,0.36643544515898663
VAT1,17q,6.358854430002193,6.43995207220297,non_sig,-0.08109764220077675
PLS1,3q,2.3257709809875573,2.8850210598793913,non_sig,-0.559250078891834
C2CD2,21q,3.9898281986387722,3.6673227377423996,non_sig,0.32250546089637266
DRD2,11q,1.4725507997709162,1.509848749916615,non_sig,-0.03729795014569892
FGL2,7q,0.1546544025272249,2.475234916065433,non_sig,-2.3205805135382085
CBR1,21q,5.4868239703890715,5.827229834819593,non_sig,-0.34040586443052145
DHRS4,14q,3.3482661948392067,3.712896289614103,non_sig,-0.3646300947748964
CBR3,21q,5.366774995562487,5.774905140103078,non_sig,-0.40813014454059093
DHRS2,14q,3.876372401759404,3.326466032465255,non_sig,0.549906369294149
INSM1,20p,1.994376111811626,3.177936390709309,non_sig,-1.1835602788976827
PCSK6,15q,2.1430646644692977,2.268641360968749,non_sig,-0.12557669649945113
FURIN,15q,1.5230850383011805,1.6228711331684815,non_sig,-0.09978609486730106
SGCD,5q,2.7804123136933026,2.888281109361295,non_sig,-0.10786879566799223
RBM26,13q,3.2175324836433816,3.5944078943277615,non_sig,-0.3768754106843799
RBM27,5q,3.504717793815872,3.559831655560759,non_sig,-0.05511386174488697
DGKZ,11p,3.0266569963805474,2.5738885915115675,non_sig,0.45276840486897996
DGKE,17q,2.1158668062054913,2.098268848727832,non_sig,0.017597957477659243
DGKA,12q,2.1534150625446467,2.3145537370120044,non_sig,-0.16113867446735775
XRN2,20p,4.927614726764075,5.2481750521303985,non_sig,-0.3205603253663236
XRN1,3q,1.671961118850784,1.9844073606773267,non_sig,-0.3124462418265428
SNRPA,19q,6.517334297301827,6.540257934828649,non_sig,-0.022923637526822027
SUMO3,21q,0.8519494752762702,1.4329145889913475,non_sig,-0.5809651137150773
SUMO2,17q,1.3888409135249995,1.8827444421982096,non_sig,-0.4939035286732101
SASH1,6q,1.130885201547335,2.492743313213312,non_sig,-1.3618581116659771
GGT1,22q,3.3549680531993356,3.1163855362680715,non_sig,0.2385825169312641
GGT5,22q,1.1719560573541636,1.9061909442041034,non_sig,-0.7342348868499398
SIM2,21q,4.111173056419922,4.084686716414765,non_sig,0.026486340005156706
